DATE,MCC,MNC,SS,CID,LAC,TYPE,LAT,LNG,ACC
Wed Nov 20 16:19:53 EST 2024,310,410,3,190107542,11526,GSM,33.465505,-82.08079833333335,2.8
Wed Nov 20 16:19:40 EST 2024,310,410,4,190248968,11526,GSM,33.465505,-82.08079833333335,2.8
Wed Nov 20 16:13:44 EST 2024,310,410,3,190248983,11526,GSM,33.465559999999996,-82.08082,1.7
Wed Nov 20 16:13:28 EST 2024,310,410,3,190248968,11526,GSM,33.465559999999996,-82.08082,1.7
Wed Nov 20 16:12:26 EST 2024,310,410,3,190248983,11526,GSM,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:12:03 EST 2024,310,410,3,190248969,11526,GSM,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:10:30 EST 2024,310,410,4,190287880,11526,GSM,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:10:27 EST 2024,310,410,3,190248983,11526,GSM,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:10:25 EST 2024,310,410,4,190287896,11526,GSM,33.46552166666667,-82.08079166666667,1.9
Wed Nov 20 16:10:15 EST 2024,310,410,3,190248969,11526,GSM,33.465561666666666,-82.08081666666666,1.8
Wed Nov 20 16:10:04 EST 2024,310,410,3,190107542,11526,GSM,33.46566833333333,-82.08090333333332,2.5
Wed Nov 20 16:08:55 EST 2024,310,410,3,190248968,11526,GSM,33.465693333333334,-82.08098,5.1
Wed Nov 20 16:08:52 EST 2024,310,410,3,190210020,11526,GSM,33.465786666666666,-82.08093666666667,5.0
Wed Nov 20 16:06:12 EST 2024,310,410,3,190107542,11526,GSM,33.46566166666666,-82.08076833333334,2.1
Wed Nov 20 15:39:50 EST 2024,310,410,4,190107402,11526,GSM,33.464468333333336,-82.07990999999998,3.2
Wed Nov 20 15:33:46 EST 2024,310,410,4,190248969,11526,GSM,33.465185,-82.07995166666666,2.2
Wed Nov 20 15:33:42 EST 2024,310,410,4,190210020,11526,GSM,33.46517666666667,-82.07980166666667,2.1
Wed Nov 20 15:32:02 EST 2024,310,410,3,190107542,11526,GSM,33.467011666666664,-82.08139666666666,2.1
Wed Nov 20 15:31:49 EST 2024,310,410,3,190107543,11526,GSM,33.46666833333334,-82.08301833333334,3.1
Wed Nov 20 15:31:25 EST 2024,310,410,4,190249109,11526,GSM,33.466865,-82.08393,2.5
Wed Nov 20 15:31:05 EST 2024,310,410,4,190248982,11526,GSM,33.466865,-82.08393,2.5
Wed Nov 20 15:30:58 EST 2024,310,410,4,190248968,11526,GSM,33.46686666666667,-82.08393,11.4
Wed Nov 20 15:23:28 EST 2024,310,410,4,190135306,11526,GSM,33.52184166666667,-82.03133666666666,11.5
Wed Nov 20 15:23:14 EST 2024,310,410,4,190263524,11526,GSM,33.521539999999995,-82.02927999999999,11.4
Wed Nov 20 15:14:35 EST 2024,310,410,4,190109206,11526,GSM,33.481970000000004,-81.98137,2.4
Wed Nov 20 15:04:47 EST 2024,310,410,4,190211862,11526,GSM,33.47898,-81.96918333333333,3.9
Wed Nov 20 13:29:35 EST 2024,310,410,3,190153367,11526,GSM,33.47997833333333,-81.96824166666667,8.5
Tue Nov 19 10:28:37 EST 2024,null,null,0,null,null,null,33.479765,-81.96835333333334,5.8
Tue Nov 19 10:11:40 EST 2024,310,410,3,190153367,11526,GSM,33.4851075,-81.9764924,1700.0